size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.058000,2175671,1107380,9.994000,2175710,1107380,19.996000,4875504,1575168
200000,21.036000,4535883,2360750,21.123000,4535923,2360750,41.067000,10349730,3349910
300000,32.797000,7306446,3474640,34.727000,7306482,3474640,67.536000,16038477,5196159
400000,44.979000,9550934,4822349,44.723000,9550977,4822349,95.180000,21900432,7100144
500000,56.808000,12232447,6291013,56.432000,12232482,6291013,124.742000,27822750,9024250
600000,69.940000,14937129,7350931,69.297000,14937165,7350931,157.627000,33874275,10991425
700000,81.987000,17606549,9442171,81.700000,17606588,9442171,194.589000,40015026,12988342
800000,93.589000,20295426,10576310,93.177000,20295468,10576310,233.456000,46197351,14999117
900000,107.890000,22699155,11677999,107.654000,22699193,11677999,300.168000,52407915,17019305
1000000,126.214000,26336745,12564378,133.345000,26336794,12564378,373.435000,58642188,19047396
1100000,134.485000,29310841,15034958,135.851000,29310886,15034958,412.866000,64954182,21101394
1200000,147.172000,31153497,15907958,146.138000,31153536,15907958,501.437000,71354292,23184764
1300000,172.527000,35739564,19111021,168.373000,35739610,19111021,488.626000,77779662,25276554
1400000,173.753000,37804222,20711246,170.704000,37804272,20711246,469.699000,84235368,27378456
1500000,185.332000,40194623,19967407,183.177000,40194662,19967407,504.977000,90703215,29484405
1600000,202.901000,44091181,22593818,199.815000,44091229,22593818,670.886000,97197630,31599210
1700000,218.369000,45149266,22265558,218.917000,45149304,22265558,703.111000,103699812,33716604
1800000,227.609000,48337712,24399846,227.322000,48337757,24399846,740.632000,110215530,35838510
1900000,244.992000,50985332,25178773,240.073000,50985377,25178773,838.249000,116751156,37967052
2000000,256.017000,52856318,26932135,255.549000,52856354,26932135,885.204000,123295149,40098383
2100000,266.554000,58249414,30910953,265.803000,58249457,30910953,837.799000,129842916,42230972
2200000,274.418000,61339530,31951769,273.485000,61339582,31951769,972.808000,136503021,44401007
2300000,296.989000,67610881,33436058,301.344000,67610925,33436058,1026.147000,143203272,46584424
2400000,305.766000,66144975,32243120,303.140000,66145014,32243120,963.543000,149904354,48768118
2500000,316.785000,72966353,36158076,315.608000,72966402,36158076,1071.758000,156621489,50957163
2600000,328.578000,73554113,38354954,330.444000,73554159,38354954,1117.326000,163371735,53157245
2700000,346.657000,76476680,38443625,346.734000,76476722,38443625,1404.575000,170109732,55353244
2800000,363.858000,78048122,37670103,364.043000,78048166,37670103,1386.112000,176868540,57556180
2900000,381.238000,81504854,39248689,378.454000,81504900,39248689,1414.704000,183629790,59759930
3000000,384.869000,86280105,40121625,383.845000,86280151,40121625,1356.155000,190413480,61971160
3100000,399.641000,85902965,43346863,413.158000,85903006,43346863,1621.460000,197194803,64181601
3200000,416.594000,88659966,43354054,423.236000,88660017,43354054,1660.247000,203986332,66395444
3300000,424.613000,93958420,45252973,434.696000,93958465,45252973,1806.420000,210794067,68614689
3400000,452.526000,96615765,49666884,439.474000,96615818,49666884,1623.984000,217606521,70835507
3500000,454.228000,99250333,50121877,451.523000,99250377,50121877,1682.439000,224421063,73057021
3600000,468.303000,102131481,50024647,467.031000,102131531,50024647,1788.717000,231243408,75281136
3700000,483.987000,106055522,55420263,481.645000,106055573,55420263,1873.032000,238068906,77506302
3800000,498.708000,108798973,54248158,496.660000,108799028,54248158,1899.720000,244898568,79732856
3900000,511.261000,113003116,56392740,510.379000,113003170,56392740,2018.249000,251741649,81963883
4000000,532.692000,116852536,57975120,523.794000,116852579,57975120,2097.133000,258582129,84194043
4100000,539.797000,117462551,53547942,537.976000,117462595,53547942,2156.546000,265429104,86426368
4200000,554.887000,125346906,61289695,558.909000,125346953,61289695,2178.898000,272290080,88663360
4300000,571.680000,129146723,65704457,566.570000,129146772,65704457,2251.545000,279249564,90933188
4400000,583.800000,136359469,62643196,583.716000,136359518,62643196,2306.339000,286216683,93205561
4500000,597.403000,124522696,61297503,598.362000,124522740,61297503,2402.386000,293205666,95485222
4600000,611.960000,134537812,69136176,612.331000,134537862,69136176,2506.545000,300194619,97764873
4700000,621.938000,135536376,69138773,623.254000,135536425,69138773,2567.116000,307193013,100047671
4800000,638.602000,143098341,72698269,634.453000,143098392,72698269,2633.803000,314201769,102333923
4900000,656.261000,140054472,69507958,653.198000,140054513,69507958,2703.842000,321232143,104627381
5000000,665.072000,146044245,75551762,663.173000,146044290,75551762,2799.169000,328250283,106916761
5100000,677.204000,148348650,76739331,675.491000,148348701,76739331,2884.540000,335277384,109209128
5200000,697.392000,151466551,73676421,697.025000,151466600,73676421,2965.396000,342333237,111511079
5300000,707.233000,156403669,75366927,706.179000,156403726,75366927,2997.425000,349373598,113807866
5400000,721.163000,160963012,77012852,720.759000,160963060,77012852,3048.600000,356422734,116107578
5500000,738.699000,165211501,79928213,731.546000,165211553,79928213,3144.270000,363467943,118405981
5600000,749.954000,165808064,87976140,748.780000,165808112,87976140,3222.949000,370537686,120712562
5700000,768.258000,163788561,83445640,761.787000,163788609,83445640,3279.069000,377596785,123015595
5800000,785.396000,171171588,82760307,784.499000,171171626,82760307,3378.930000,384669972,125323324
5900000,797.459000,173810838,84030263,798.007000,173810881,84030263,3460.105000,391755153,127635051
6000000,813.942000,170718806,82897717,808.489000,170718849,82897717,3539.964000,398820054,129940018
6100000,824.580000,182723878,95677237,821.115000,182723928,95677237,3671.346000,405916203,132255401
6200000,842.280000,186489995,90765142,837.302000,186490038,90765142,3711.400000,412992765,134564255
6300000,848.943000,182917712,89487214,847.357000,182917762,89487214,3763.603000,420090552,136880184
6400000,873.499000,187751467,94398546,870.265000,187751510,94398546,3861.206000,427196661,139198887
6500000,888.889000,198246062,98592854,885.991000,198246112,98592854,3925.894000,434294694,141514898
6600000,886.860000,198274979,95009180,885.062000,198275026,95009180,4011.783000,441385542,143828514
6700000,905.289000,197584275,103855047,900.781000,197584329,103855047,4122.761000,448488861,146146287
6800000,921.142000,199799565,99612171,918.942000,199799611,99612171,4160.267000,455615175,148471725
6900000,931.327000,203020212,96522667,926.672000,203020251,96522667,4244.021000,462727206,150792402
7000000,953.633000,209897217,103519002,950.963000,209897263,103519002,4318.072000,469850913,153116971
7100000,974.024000,209712591,103189032,968.534000,209712636,103189032,4403.467000,476954910,155434970
7200000,987.977000,216414852,103646973,985.836000,216414907,103646973,4516.745000,484082583,157760861
7300000,998.884000,230496435,111038306,996.547000,230496485,111038306,4579.544000,491203398,160084466
7400000,1018.993000,215562185,108381632,1016.401000,215562230,108381632,4686.393000,498342543,162414181
7500000,1030.239000,221689208,112712360,1034.995000,221689258,112712360,4772.263000,505462773,164737591
7600000,1041.991000,230488782,115152726,1031.812000,230488835,115152726,4818.115000,512609061,167069687
7700000,1059.531000,229499882,120731324,1054.438000,229499937,120731324,4903.306000,519748572,169399524
7800000,1079.997000,236800248,118293716,1077.002000,236800300,118293716,4988.312000,526874742,171724914
7900000,1097.183000,236751239,121654470,1093.716000,236751281,121654470,5076.821000,534004080,174051360
8000000,1092.619000,235622828,119348869,1091.989000,235622882,119348869,5136.734000,541156806,176385602
8100000,1108.025000,244875113,124671591,1100.207000,244875161,124671591,5247.218000,548309742,178719914
8200000,1134.532000,248719415,126381796,1134.111000,248719466,126381796,5317.808000,555462033,181054011
8300000,1152.497000,262791516,127660442,1145.031000,262791566,127660442,5434.429000,562598883,183382961
8400000,1157.603000,254045410,127222210,1157.305000,254045463,127222210,5480.691000,569765133,185721711
8500000,1172.931000,255220961,127635106,1173.219000,255221014,127635106,5588.158000,577026813,188092271
8600000,1182.188000,268649020,126155158,1179.109000,268649068,126155158,5663.372000,584297628,190465876
8700000,1199.502000,258512098,129651272,1196.479000,258512141,129651272,5760.292000,591561432,192837144
8800000,1209.230000,268082154,136391713,1209.403000,268082209,136391713,5835.496000,598851423,195217141
8900000,1225.242000,271362138,137644477,1225.783000,271362184,137644477,5924.514000,606136794,197595598
9000000,1235.432000,277475809,147632766,1230.936000,277475863,147632766,5995.091000,613410336,199970112
9100000,1261.441000,277670015,134570888,1261.280000,277670065,134570888,6099.637000,620689017,202346339
9200000,1283.346000,287377968,142718340,1280.075000,287378020,142718340,6172.944000,628003785,204734595
9300000,1301.881000,292931525,147925738,1296.587000,292931580,147925738,6251.176000,635302344,207117448
9400000,1305.884000,289519270,148127949,1302.481000,289519318,148127949,6332.467000,642610566,209503522
9500000,1314.422000,288553257,146560073,1316.531000,288553303,146560073,6429.072000,649910082,211886694
9600000,1343.585000,306314004,157090963,1342.936000,306314059,157090963,6599.638000,657232872,214277624
9700000,1347.074000,291478334,152691534,1338.202000,291478380,152691534,6619.501000,664535358,216661786
9800000,1374.125000,298580746,151449717,1379.638000,298580793,151449717,6690.114000,671851272,219050424
9900000,1376.170000,306606292,148199016,1375.844000,306606349,148199016,6778.958000,679176378,221442126
10000000,1394.481000,296588145,145288923,1387.534000,296588184,145288923,6865.965000,686492367,223830789
