size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,44559.080000,5000149999,5000049999,44319.483000,5000249998,5000049999,30.984000,5102565,1650855
200000,177781.531000,20000299999,20000099999,177498.259000,20000499998,20000099999,65.794000,10797483,3499161
300000,400562.597000,45000449999,45000149999,400844.869000,45000749998,45000149999,104.281000,16683483,5411161
400000,723369.766000,80000599999,80000199999,715544.948000,80000999998,80000199999,138.042000,22750407,7383469
500000,1118653.873000,125000749999,125000249999,1109537.032000,125001249998,125000249999,174.604000,28817103,9355701
600000,1597835.840000,180000899999,180000299999,1597822.001000,180001499998,180000299999,211.414000,35186115,11428705
700000,2193034.753000,245001049999,245000349999,2170228.393000,245001749998,245000349999,249.738000,41606205,13518735
800000,2841000.912000,320001199999,320000399999,2836898.119000,320001999998,320000399999,287.716000,48026103,15608701
900000,3595769.194000,405001349999,405000449999,3590867.681000,405002249998,405000449999,326.026000,54444579,17698193
1000000,4440651.770000,500001499999,500000499999,4434556.323000,500002499998,500000499999,364.049000,60863379,19787793
1100000,5379163.419000,605001649999,605000549999,5366087.211000,605002749998,605000549999,409.393000,67455309,21935103
